row_id,source_dataset,npdes_id,registry_id,facility_name,city,state,county,permit_status,permit_type,facility_type,total_design_flow,actual_average_flow,current_snc_status,current_violation,inspections,pct_low_income_3mi,pct_people_of_color,population_density,tribal_spatial_flag,derived_tribes,latitude,longitude,has_tribal_context,has_current_violation
10166,EPA ECHO CWA/NPDES facility locations,AKG370B34,110064415976,NORDLUM GLACIER CREEK MINE SITE,DEERING,AK,Northwest Arctic,Admin Continued,General Permit Covered Facility,NON-POTW,NA,NA,NA,NA,0,66.66999999999999,100,0.16,NA,NA,65.5780999998639,-162.15400000006798,FALSE,FALSE
10167,EPA ECHO CWA/NPDES facility locations,AKR10H0UV,110071950105,"AREAWIDE SEWAGE LAGOON UPGRADES, CIP60111",ATQASUK,AK,North Slope,Terminated,General Permit Covered Facility,NON-POTW,NA,NA,NA,NA,0,0,100,0.04,N,Native Village of Atqasuk - 4 mile(s),70.51613000014771,-157.46405999962698,TRUE,FALSE
10168,EPA ECHO CWA/NPDES facility locations,AKNOE0311,110071526410,CBJ DOCKS AND HARBORS AUKE BAY LOADING FACILITY,JUNEAU,AK,Juneau City and Borough,Effective,General Permit Covered Facility,NON-POTW,NA,NA,NA,NA,0,11.79,17.22,99.16999999999999,N,"Central Council of the Tlingit & Haida Indian Tribes - 12 mile(s), Douglas Indian Association - 14 mile(s)",58.38198499981389,-134.69075899964497,TRUE,FALSE
10169,EPA ECHO CWA/NPDES facility locations,AKR10H0EL,110071439195,BALDY LAKE AIRPARK,TALKEETNA,AK,Matanuska-Susitna,Terminated,General Permit Covered Facility,NON-POTW,NA,NA,NA,NA,0,45.449999999999996,9.09,0.39,NA,NA,62.237934999908305,-149.926469999704,FALSE,FALSE
10170,EPA ECHO CWA/NPDES facility locations,AKR10H0A6,110071436481,WEST FOREST LAKE DRIVE,WASILLA,AK,Matanuska-Susitna,Terminated,General Permit Covered Facility,NON-POTW,NA,NA,NA,NA,0,23.55,19.34,146.26,N,"Knik Tribe - 9 mile(s), Eklutna Native Village - 15 mile(s)",61.57776800003,-149.71597599965895,TRUE,FALSE
10171,EPA ECHO CWA/NPDES facility locations,AKR10H0L4,110071784983,FT GREELY,FT. GREELY,AK,Southeast Fairbanks (CA),Terminated,General Permit Covered Facility,NON-POTW,NA,NA,NA,NA,0,66.66999999999999,25,0.15000000000000002,NA,NA,63.94388199994159,-145.709403000432,FALSE,FALSE
10172,EPA ECHO CWA/NPDES facility locations,AKR10H0MQ,110071814775,REPAIR TAXIWAY R,JBER,AK,Anchorage Municipality,Effective,General Permit Covered Facility,NON-POTW,NA,NA,NA,NA,0,46.13,70.56,1520.09,N,"Knik Tribe - 15 mile(s), Eklutna Native Village - 21 mile(s)",61.25271200002691,-149.789044000079,TRUE,FALSE
10173,EPA ECHO CWA/NPDES facility locations,AKG002347,110072075309,KDK: ADQ AIRPORT APRON & TAXIWAY F RECONSTRUCTION,KODIAK,AK,Kodiak Island,Effective,General Permit Covered Facility,NON-POTW,NA,NA,NA,NA,0,21.68,46.07,77.2,N,"Tangirnaq Native Village - 5 mile(s), Sun'aq Tribe of Kodiak - 5 mile(s), Native Village of Ouzinkie - 12 mile(s), Native Village of Port Lions - 16 mile(s), Native Village of Afognak - 21 mile(s)",57.7554269999586,-152.51456899967997,TRUE,FALSE
10174,EPA ECHO CWA/NPDES facility locations,AKR06GA23,110063145733,HALLIBURTON NORTH SLOPE PRUDHOE FIELD CAMP,DEADHORSE,AK,North Slope,Expired,General Permit Covered Facility,NON-POTW,NA,NA,NA,NA,0,8.7,21.74,1.03,NA,NA,70.22627500014501,-148.41306199990495,FALSE,FALSE
10175,EPA ECHO CWA/NPDES facility locations,AKR10H104,110072103177,GWID TRANSMISSION LINE GIRDWOOD TO INDIAN,GIRDWOOD,AK,Anchorage Municipality,Effective,General Permit Covered Facility,NON-POTW,NA,NA,NA,NA,0,4.659999999999999,3.7,27.45,NA,NA,60.9457570001482,-149.18777699981598,FALSE,FALSE
10176,EPA ECHO CWA/NPDES facility locations,AKG370D46,110071069174,GLACIER CREEK MINING CO. GLACIER CREEK MINE SITE,DEERING,AK,Northwest Arctic,Admin Continued,General Permit Covered Facility,NON-POTW,NA,NA,NA,NA,0,66.66999999999999,100,0.16,NA,NA,65.57740000014999,-162.152999999985,FALSE,FALSE
10177,EPA ECHO CWA/NPDES facility locations,AKR10H0VE,110071963198,CEA COOPER LANDING FACILITY PH. 1 RFB 25-08,COOPER LANDING,AK,Kenai Peninsula,Terminated,General Permit Covered Facility,NON-POTW,NA,NA,NA,NA,0,0,22.22,0.33999999999999997,NA,NA,60.48347999985259,-149.732910000044,FALSE,FALSE
10178,EPA ECHO CWA/NPDES facility locations,AKNOE0260,110071134107,UPS WASILLA,WASILLA,AK,Matanuska-Susitna,Effective,General Permit Covered Facility,NON-POTW,NA,NA,NA,NA,0,28.830000000000002,23.72,667.55,N,"Eklutna Native Village - 10 mile(s), Knik Tribe - 13 mile(s)",61.5877060000058,-149.482079999826,TRUE,FALSE
