row_id,source_dataset,pws_id,system_name,facility_id,source_type_code,source_type,federal_type_code,federal_type,activity_status,population_served,comment,longitude,latitude
120,ADEC SDWIS active PWS source locations,AK2245406   ,PENINSULA GRACE BRETHREN CHURCH,33083,WL,Well,NC  ,NC  ,NA,306,NA,-151.14980252330494,60.48290148370099
121,ADEC SDWIS active PWS source locations,AK2334035   ,THE INN AT COLDFOOT,33087,WL,Well,NC  ,NC  ,NA,120,NA,-150.17644757865702,67.2513111818806
122,ADEC SDWIS active PWS source locations,AK2350023   ,ALYESKA PS 5 PERM,33088,WL,Well,NTNC,Non-transient non-community,NA,60,NA,-150.68017706253502,66.81872612290888
123,ADEC SDWIS active PWS source locations,AK2222822   ,FIRST BAPTIST CHURCH OF WASILLA,33091,WL,Well,NC  ,NC  ,NA,203,NA,-149.41363331525798,61.589511693281196
124,ADEC SDWIS active PWS source locations,AK2245317   ,KENAI UNITED PENTECOSTAL CHURCH,33094,WL,Well,NC  ,NC  ,NA,57,NA,-151.3335316056,60.6131054452585
125,ADEC SDWIS active PWS source locations,AK2270215   ,TOKSOOK BAY WATER SYSTEM,33095,WL,Well,C   ,C   ,NA,661,NA,-165.11585149939896,60.5427992773327
126,ADEC SDWIS active PWS source locations,AK2244719   ,S & S CENTER,33096,WL,Well,NTNC,Non-transient non-community,NA,54,NA,-151.15204752503104,60.485589483157796
127,ADEC SDWIS active PWS source locations,AK2245294   ,NIKISKI CHURCH OF CHRIST,33097,WL,Well,NC  ,NC  ,NA,35,NA,-151.347157673703,60.7152424360721
128,ADEC SDWIS active PWS source locations,AK2210574   ,TOTEM TRAILER TOWN TC,33103,WL,Well,C   ,C   ,NA,480,NA,-149.80420304415298,61.21474165335849
129,ADEC SDWIS active PWS source locations,AK2243420   ,USNPS EXIT GLACIER NATURE CENTER,33119,WL,Well,NC  ,NC  ,NA,1500,NA,-149.63242235444002,60.188141746667
