row_id,source_dataset,npdes_id,facility_name,city,state,county,permit_status,permit_type,facility_type,total_design_flow,current_snc_status,current_violation,permit_feature_number,state_water_body_name,tribal_spatial_flag,derived_tribes,latitude,longitude,has_tribal_context,has_current_violation
703,EPA ECHO NPDES outfalls/permitted features,AKG572109,LATITUDE 57 LLC WASTEWATER TREATMENT FACILITY,MIDDLE ISLAND,AK,SITKA,Effective,General Permit Covered Facility,Privately Owned Facility,NA,Failure to Report DMR - Not Received,Yes,001,NA,N,Sitka Tribe of Alaska - 7 mile(s),57.114,-135.447,TRUE,TRUE
704,EPA ECHO NPDES outfalls/permitted features,AKG370C02,TAIGA MINING ALOHETTA CREEK MINE SITE,HUGHES,AK,YUKON-KOYUKUK (CA),Admin Continued,General Permit Covered Facility,Corporation,NA,NA,No,001,Alohetta Creek,NA,NA,66.235991,-155.662889,FALSE,FALSE
705,EPA ECHO NPDES outfalls/permitted features,AKG370D26,KUBANYI FOX CREEK MINE SITE,FAIRBANKS,AK,FAIRBANKS NORTH STAR,Admin Continued,General Permit Covered Facility,Privately Owned Facility,NA,NA,Yes,001,Fox Creek,NA,NA,64.983,-147.635,FALSE,TRUE
706,EPA ECHO NPDES outfalls/permitted features,AKG371703,INDMINE MINERAL CREEK MINE SITE,VALDEZ,AK,VALDEZ-CORDOVA CENSUS AREA,Admin Continued,General Permit Covered Facility,Privately Owned Facility,NA,NA,No,012,Mineral & Brevier Creeks,N,Native Village of Tatitlek - 20 mile(s),61.220785000000006,-146.32212400000003,TRUE,FALSE
707,EPA ECHO NPDES outfalls/permitted features,AKR06GB68,CROWLEY KENAI AIRPORT FACILITY,KENAI,AK,KENAI PENINSULA,Expired,General Permit Covered Facility,Corporation,NA,NA,Yes,003,NA,N,"Kenaitze Indian Tribe - 1 mile(s), Salamatof Tribe - 4 mile(s)",60.56424,-151.23828,TRUE,TRUE
708,EPA ECHO NPDES outfalls/permitted features,AKR06GB68,CROWLEY KENAI AIRPORT FACILITY,KENAI,AK,KENAI PENINSULA,Expired,General Permit Covered Facility,Corporation,NA,NA,Yes,001,Ryan's Creek,N,"Kenaitze Indian Tribe - 1 mile(s), Salamatof Tribe - 4 mile(s)",60.56611100000001,-151.24583299999998,TRUE,TRUE
709,EPA ECHO NPDES outfalls/permitted features,AKR06GB68,CROWLEY KENAI AIRPORT FACILITY,KENAI,AK,KENAI PENINSULA,Expired,General Permit Covered Facility,Corporation,NA,NA,Yes,002,NA,N,"Kenaitze Indian Tribe - 1 mile(s), Salamatof Tribe - 4 mile(s)",60.56082,-151.26220600000002,TRUE,TRUE
710,EPA ECHO NPDES outfalls/permitted features,AKG370D81,DRY GULCH DRY CREEK MINE SITE,NOME,AK,NOME (CA),Admin Continued,General Permit Covered Facility,Privately Owned Facility,NA,NA,Yes,001,Dry Creek,N,Nome Eskimo Community - 4 mile(s),64.53777799999999,-165.33138900000003,TRUE,TRUE
711,EPA ECHO NPDES outfalls/permitted features,AKR06AD53,WRANGELL MARINE SERVICE CENTER,WRANGELL,AK,WRANGELL-PETERSBURG (CA),Expired,General Permit Covered Facility,County Government,NA,NA,No,003,Zimovia Strait,N,Wrangell Cooperative Association - 2 mile(s),56.468803,-132.38339200000001,TRUE,FALSE
712,EPA ECHO NPDES outfalls/permitted features,AKR06AF43,VALDEZ SMALL BOAT HARBOR,VALDEZ,AK,VALDEZ-CORDOVA (CA),Expired,General Permit Covered Facility,Municipality,NA,Failure to Report DMR - Not Received,Yes,002,Unnamed Wetlands,N,Native Village of Tatitlek - 22 mile(s),61.12850000000001,-146.34,TRUE,TRUE
713,EPA ECHO NPDES outfalls/permitted features,AKR06AD53,WRANGELL MARINE SERVICE CENTER,WRANGELL,AK,WRANGELL-PETERSBURG (CA),Expired,General Permit Covered Facility,County Government,NA,NA,No,002,Zimovia Strait,N,Wrangell Cooperative Association - 2 mile(s),56.468946,-132.38335,TRUE,FALSE
